State,Market,2015,2016,2017
AL,"Birmingham-Hoover, AL",731,1365,417
AL,"Huntsville, AL",573,536,444
AL,"Mobile, AL",66,523,252
AL,"Montgomery, AL",604,136,0
AR,"Little Rock-North Little Rock-Conway, AR",637,1006,755
AZ,"Phoenix-Mesa-Scottsdale, AZ",6065,8045,8664
AZ,"Tucson, AZ",1007,798,347
CA,"Anaheim-Santa Ana-Irvine, CA",6511,7610,3709
CA,"Fresno, CA",222,203,531
CA,"Los Angeles-Long Beach-Glendale, CA",16319,13485,15756
CA,"Oakland-Hayward-Berkeley, CA",3280,3927,6312
CA,"Oxnard-Thousand Oaks-Ventura, CA",791,684,1084
CA,"Riverside-San Bernardino-Ontario, CA",2668,2009,2903
CA,"Sacramento--Roseville--Arden-Arcade, CA",469,983,1935
CA,"Salinas, CA",163,223,21
CA,"San Diego-Carlsbad, CA",4956,7272,6341
CA,"San Francisco-Redwood City-South San Francisco, CA",4108,4943,4861
CA,"San Jose-Sunnyvale-Santa Clara, CA",6166,4409,5803
CA,"Santa Rosa, CA",258,128,76
CO,"Boulder, CO",286,840,1041
CO,"Colorado Springs, CO",463,998,1385
CO,"Denver-Aurora-Lakewood, CO",8441,8793,13013
CT,"Bridgeport-Stamford-Norwalk, CT",1121,2053,404
CT,"Hartford-West Hartford-East Hartford, CT",394,1143,794
CT,"New Haven-Milford, CT",368,537,274
DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",9950,9516,9098
DE,"Wilmington, DE-MD-NJ",606,825,516
FL,"Cape Coral-Fort Myers, FL",1532,1799,1786
FL,"Deltona-Daytona Beach-Ormond Beach, FL",204,167,411
FL,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2299,3624,2875
FL,"Gainesville, FL",270,603,840
FL,"Jacksonville, FL",1593,1326,4321
FL,"Miami-Miami Beach-Kendall, FL",8295,6584,7925
FL,"Naples-Immokalee-Marco Island, FL",924,676,965
FL,"North Port-Sarasota-Bradenton, FL",1741,1946,1889
FL,"Orlando-Kissimmee-Sanford, FL",6552,8389,7412
FL,"Palm Bay-Melbourne-Titusville, FL",337,38,406
FL,"Tallahassee, FL",693,527,239
FL,"Tampa-St. Petersburg-Clearwater, FL",5038,6506,5553
FL,"West Palm Beach-Boca Raton-Delray Beach, FL",1745,3528,1924
GA,"Athens-Clarke County, GA",865,159,128
GA,"Atlanta-Sandy Springs-Roswell, GA",9623,12872,9488
GA,"Augusta-Richmond County, GA-SC",167,506,239
GA,"Columbus, GA-AL",236,549,236
GA,"Savannah, GA",125,275,15
HI,"Urban Honolulu, HI",1811,2188,247
IA,"Des Moines-West Des Moines, IA",838,2779,2662
IL,"Chicago-Naperville-Arlington Heights, IL",5954,7421,11905
IL,"Lake County-Kenosha County, IL-WI",425,383,526
IN,"Indianapolis-Carmel-Anderson, IN",2901,3045,2462
KY,"Lexington-Fayette, KY",551,1044,782
KY,"Louisville/Jefferson County, KY-IN",969,2089,2571
LA,"Baton Rouge, LA",259,109,0
LA,"New Orleans-Metairie, LA",373,330,314
MA,"Boston-Cambridge-Newton, MA-NH",8082,7276,8115
MD,"Baltimore-Columbia-Towson, MD",3422,3168,1946
MD,"Silver Spring-Frederick-Rockville, MD",1161,2155,1113
MI,"Ann Arbor, MI",46,24,22
MI,"Detroit-Dearborn-Livonia, MI",319,1080,776
MI,"Grand Rapids-Wyoming, MI",1031,1164,1894
MI,"Lansing-East Lansing, MI",53,263,126
MI,"Warren-Troy-Farmington Hills, MI",1296,595,1513
